Ld,Lb,growth_rate,length,condition
65.86735805489268,46.01274289754129,21.25479727809461,[47 48 50 51 52 53 55 54 61 63 65],glucose
51.48359947386798,21.078820843689204,15.524108350888671,[22 21 24 24 27 25 27 29 31 30 32 35 35 40 39 41 42 45 46 51],glucose
60.968304878883416,23.334874954457863,15.877922465523552,[23 23 26 25 32 28 30 30 30 34 35 37 40 47 44 46 49 50 47 55 57 55],glucose
54.48599598109451,30.307941536031137,15.362987112158502,[31 33 34 35 35 37 39 41 43 44 49 50 53],glucose
58.70681417580143,27.7639082998344,14.810463562783386,[29 30 30 33 34 34 37 37 39 42 44 47 48 51 54 57],glucose
50.24489708704335,24.113192860312445,14.162241261939142,[25 25 26 28 30 31 31 34 37 37 38 42 43 46 48],glucose
54.57645042672883,25.57287087599608,15.544073146918471,[26 28 27 29 30 31 33 34 37 38 43 42 44 45 47 50 52],glucose
51.314711774383554,27.40165183858396,16.57257794544835,[28 30 30 31 32 34 35 36 37 39 42 43 45 47 51],glucose
55.405988840613404,28.358305133416273,14.488694764334248,[29 30 31 33 34 36 37 39 42 44 45 49 50 53],glucose
53.18713010050556,28.993420291417067,17.135970279015716,[27 30 31 32 35 37 38 40 41 43 40 44 48 49 51],glucose
53.418310500756085,23.08877130419906,15.700624497145549,[24 26 25 25 26 28 30 31 34 35 36 38 39 40 43 44 48 50 50],glucose
58.27425747112347,24.805809524878224,13.796677967930938,[26 28 29 29 30 30 34 35 35 39 41 41 46 46 50 53 58],glucose
53.48041021075916,24.868020746178715,15.388530842153337,[25 25 27 29 30 31 33 35 35 38 38 41 43 45 46 48 52],glucose
54.11923520019785,26.941381655821914,15.899552792954774,[27 28 30 31 32 34 35 37 38 39 41 43 45 47 50 53],glucose
54.849706843954,26.248875916885485,14.107977049093703,[27 27 29 30 32 34 36 38 38 40 42 45 47 50 53],glucose
50.09996259824345,25.154020099263768,16.096246907359525,[26 27 27 29 30 31 32 32 35 38 40 40 42 43 46 49],glucose
60.191557363437646,27.20178919139566,16.581438115547137,[27 29 29 31 33 37 32 36 41 39 43 41 40 47 49 51 53 54 61],glucose
56.83683752215182,26.786042420749364,17.50595688532093,[27 28 29 30 30 32 34 37 36 40 40 41 43 44 47 49 49 54 54],glucose
54.487339495433496,24.907059936241712,14.167236784918154,[26 26 27 29 29 32 34 37 36 38 41 42 43 48 49 53],glucose
56.0176100209079,23.271986222315448,14.20358055906512,[24 25 26 28 30 28 31 31 33 37 37 39 43 45 44 48 52 54],glucose
62.59942566057788,28.13608528781936,18.20186690845818,[32 28 31 28 32 35 37 34 38 39 44 44 45 45 45 51 51 54 56 58 61],glucose
51.31843235529864,24.44360687678725,16.822116781514826,[27 25 26 27 28 30 31 33 35 35 37 38 40 41 43 45 48 50],glucose
56.620327622055676,26.185204332552722,17.077604242138637,[28 28 29 29 31 32 33 35 35 38 38 41 42 43 46 48 50 54 55],glucose
52.0508673724102,26.386936850221677,15.304586980537799,[28 28 30 29 31 31 35 35 38 40 42 44 46 48 49],glucose
50.188161067916376,22.783515167829403,14.043011742770297,[25 24 27 27 28 28 29 32 34 34 36 37 40 45 47 49],glucose
51.81342813904,26.089175936502276,18.184120315967842,[25 29 27 27 30 31 33 38 36 38 37 40 43 41 41 47 49 50],glucose
51.180129985417196,26.905694010802076,17.2474699894964,[29 27 30 29 30 34 33 36 38 39 39 42 44 46 47 49],glucose
59.052276266210164,32.148055291236176,20.518404244574803,[34 33 34 36 36 35 40 37 44 45 46 47 49 51 53 52 56 55],glucose
49.65537319147831,26.263798693686237,17.412611277666635,[28 27 28 28 30 32 34 35 36 38 39 41 43 44 46 47],glucose
57.81452245580684,21.740671724052827,15.591387567422268,[23 23 23 27 27 26 29 28 33 33 33 35 37 38 39 40 43 48 47 51 54 57],glucose
53.580601854310416,23.967967707089226,16.370797508916326,[26 26 25 27 29 30 31 33 33 33 38 37 39 40 42 45 48 50 53],glucose
60.16063682014224,22.964093136468822,23.030860913904505,"[24 26 24 25 25 28 29 29 29 31 31 31 32 33 34 36 37 38 38 39 43 44 45 45
 45 49 51 52 53 53 58 61]",glucose
56.74832791395741,22.086140011735015,16.893919475184664,[22 25 25 25 27 27 28 29 30 32 32 34 37 38 38 40 42 44 46 48 50 53 56],glucose
58.806122071756086,27.269807437544454,18.03976579660694,[30 24 29 29 33 32 37 37 36 40 41 42 42 44 46 49 51 52 55 56],glucose
52.93445668557772,25.43803147048434,17.025783128766857,[28 27 28 28 29 31 33 33 36 36 38 39 41 42 44 46 50 53],glucose
52.33525619065381,24.497403866721797,17.349153542533674,[26 25 26 27 28 30 31 33 35 36 36 38 40 41 40 44 47 49 51],glucose
58.730785476483376,24.735023831664517,16.832835565445286,[28 26 26 27 30 31 31 32 33 36 39 39 40 41 43 45 47 51 52 55 57],glucose
60.02897025319101,25.204832204719988,15.176221047293796,[25 24 28 27 29 33 36 36 38 38 38 43 47 45 43 51 49 57 58],glucose
58.62064383031511,25.32831379986152,16.519945069672968,[25 27 27 28 31 32 33 34 35 37 39 40 42 43 45 46 50 52 54 57],glucose
