Ld,Lb,growth_rate,length,condition
60.529579009968295,37.82787326242971,16.21962794829503,[39 40 41 43 44 46 48 51 54 55 59],glucoseaa
62.50368375777723,35.952007652010465,15.040065169425173,[36 38 40 41 44 45 47 49 51 54 57 61],glucoseaa
52.62944011257011,36.181519176966,14.797905125486231,[36 39 40 41 43 45 48 51],glucoseaa
77.719042492991,31.63026892512853,13.878583773101921,[33 33 34 37 39 41 42 44 47 49 52 55 58 60 65 68 70 73],glucoseaa
63.68789554589222,25.195095839045738,13.454159083806454,[26 26 28 29 30 33 34 36 37 41 43 45 46 50 53 54 57 60],glucoseaa
75.50094453598396,29.41028862176336,12.498403231035656,[29 31 32 34 35 39 42 45 46 49 52 55 58 60 63 66 72],glucoseaa
71.68090400078128,32.27394473291379,12.161023334162586,[33 35 36 38 41 43 45 47 50 54 57 60 65 68],glucoseaa
77.32362927592821,38.623634434572566,14.978649024734453,[38 41 42 44 46 49 51 53 56 59 62 65 69 70 72],glucoseaa
84.61948533940098,38.550570388386404,13.224741105198046,[37 41 42 46 48 51 51 56 59 63 66 69 71 76 80],glucoseaa
73.03348933463062,31.174110140907256,13.841283682769234,[31 32 34 36 38 40 43 45 47 49 51 54 57 61 62 66 69],glucoseaa
60.8170250609349,29.456322461737756,13.38562751673636,[29 31 32 35 36 38 41 42 45 46 51 53 54 57],glucoseaa
68.87531772555356,37.8286401581052,20.821087623444672,[37 38 39 41 43 46 47 48 51 52 54 55 57 57 60 62 64 66],glucoseaa
67.09836746596328,34.105119140828656,19.46144321595967,[37 35 35 37 39 40 42 44 46 48 49 51 51 54 56 58 60 63 65],glucoseaa
77.68550148033353,37.63043632300995,13.387580386424018,[40 40 42 44 46 47 51 54 56 59 63 66 71 75],glucoseaa
76.82157459008036,38.35408178817486,12.972350580746845,[39 41 44 44 48 50 51 56 58 62 65 68 75],glucoseaa
66.90657690533713,36.64686316238422,12.66612310904425,[36 40 41 44 46 47 49 54 57 60 64],glucoseaa
83.44701147500486,34.50549005874485,16.483070640246414,[37 38 38 38 41 43 44 46 48 50 51 53 56 59 62 65 68 71 74 77 81],glucoseaa
